id,titulo,link,editoria,publicado_em,coletado_em,hora_publicacao,fim_de_semana,pageviews_simulado,tempo_pagina_seg_simulado,compartilhamentos_simulado
d2c083f60c88797c,STF ajusta responsabilização das big techs; não cabe mais recursos da decisão dos ministros,https://g1.globo.com/politica/noticia/2026/06/17/stf-faz-ajustes-na-responsabilizacao-das-big-techs-nao-cabe-mais-recursos-da-decisao-dos-ministros.ghtml,politica,2026-06-17 19:05:00+00:00,2026-06-17T23:01:17.292669+00:00,19,False,12480,111.0,236.0
6d17077547a9e791,"Segurança de Bolsonaro inutilizou arma de fogo do ex-presidente para evitar riscos, diz defesa a Moraes",https://g1.globo.com/df/distrito-federal/noticia/2026/06/17/defesa-diz-que-bolsonaro-pediu-ajuda-a-militar-para-consertar-arma-de-fogo-apreendida-em-blitz-no-df.ghtml,politica,2026-06-17 18:15:33+00:00,2026-06-17T23:01:17.292669+00:00,18,False,4880,106.0,61.0
d8bc4f0df4da4f4e,"‘Não se meta nas eleições do Brasil’, diz Lula após Trump criticar cenário político brasileiro",https://g1.globo.com/politica/noticia/2026/06/17/no-g7-lula-diz-que-nao-pediu-bilateral-e-que-trump-fez-coisa-desaforada-com-o-brasil-fala-muito-e-ouve-pouco.ghtml,politica,2026-06-17 17:43:32+00:00,2026-06-17T23:01:17.292669+00:00,17,False,10251,126.0,150.0
7005c9105096bd6b,Receita paga a partir de 15 de julho lote especial de restituição do IR a 4 milhões de contribuintes com direito a 'cashback',https://g1.globo.com/economia/imposto-de-renda/noticia/2026/06/17/receita-paga-a-partir-de-15-de-junho-lote-especial-de-restituicao-do-ir-a-4-milhoes-de-contribuintes-com-direito-a-cashback.ghtml,politica,2026-06-17 17:34:59+00:00,2026-06-17T23:01:17.292669+00:00,17,False,10822,111.0,195.0
f05bf75f86526bc6,"Trump diz que conversou com Lula no G7, chama Brasil de 'país politicamente difícil' e confunde filhos de Bolsonaro",https://g1.globo.com/mundo/noticia/2026/06/17/trump-brasil-cupula-g7.ghtml,politica,2026-06-17 17:08:42+00:00,2026-06-17T23:01:17.292669+00:00,17,False,2147,114.0,43.0
b51a490758d761b3,"Governo calcula impacto de R$ 22,4 bilhões com renegociação de dívidas agrícolas em 2027; meta de contas no azul ficaria mais difícil",https://g1.globo.com/economia/noticia/2026/06/17/governo-calcula-impacto-de-r-224-bilhoes-com-renegociacao-de-dividas-agricolas-em-2027-meta-de-contas-no-azul-ficaria-mais-dificil.ghtml,politica,2026-06-17 17:03:43+00:00,2026-06-17T23:01:17.292669+00:00,17,False,4093,111.0,58.0
15f7ae5e168d49d0,'Pode ser o Papa que não pode entrar': Vorcaro exigiu privacidade para Motta e Ciro durante viagem em que pagou hotel de luxo em Lisboa,https://g1.globo.com/politica/noticia/2026/06/17/pode-ser-o-papa-que-nao-pode-entrar-vorcaro-exigiu-privacidade-com-hugo-e-ciro-durante-viagem-em-que-pagou-hotel-de-luxo.ghtml,politica,2026-06-17 16:33:23+00:00,2026-06-17T23:01:17.292669+00:00,16,False,8384,104.0,154.0
366efb006a6ab131,Motta admitiu a interlocutores viagem em jato de Vorcaro; ex-banqueiro também pagou hotel,https://g1.globo.com/politica/noticia/2026/06/17/motta-admite-viagem-a-lisboa-em-jato-de-vorcaro-a-convite-de-ciro-nogueira-banqueiro-tambem-pagou-hotel.ghtml,politica,2026-06-17 16:00:35+00:00,2026-06-17T23:01:17.292669+00:00,16,False,7051,50.0,131.0
093ce76fd0224e22,Pautas-bomba: ministro da Fazenda discute com deputados renegociação de dívida do agronegócio,https://g1.globo.com/economia/noticia/2026/06/17/pautas-bomba-ministro-da-fazenda-discute-com-deputados-renegociacao-de-divida-do-agronegocio.ghtml,politica,2026-06-17 15:18:39+00:00,2026-06-17T23:01:17.292669+00:00,15,False,7950,97.0,134.0
1a7d9cf11ba7b71e,"Antes de julgamento no STF, Lula reforça defesa da regulação das big techs no G7",https://g1.globo.com/politica/noticia/2026/06/17/antes-de-julgamento-no-stf-lula-reforca-defesa-da-regulacao-das-big-techs-no-g7.ghtml,politica,2026-06-17 15:12:44+00:00,2026-06-17T23:01:17.292669+00:00,15,False,5441,81.0,65.0
